127.0.0.1 - - [25/Sep/2023:10:08:27 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:08:30 +0530] "GET /Servlet_Email_Pass_2/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:08:30 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:08:37 +0530] "POST /Servlet_Email_Pass_2/submit HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:08:48 +0530] "POST /Servlet_Email_Pass_2/submit HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:10:54 +0530] "POST /Servlet_Email_Pass_2/submit HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:10:56 +0530] "POST /Servlet_Email_Pass_2/submit HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:11:07 +0530] "POST /Servlet_Email_Pass_2/submit HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:11:21 +0530] "POST /Servlet_Email_Pass_2/submit HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:11:23 +0530] "GET /Servlet_Email_Pass_2/home.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:13:07 +0530] "POST /Servlet_Email_Pass_2/submit HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:13:13 +0530] "POST /Servlet_Email_Pass_2/submit HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:13:15 +0530] "GET /Servlet_Email_Pass_2/home.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:13:16 +0530] "GET /Servlet_Email_Pass_2/home.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:13:17 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:13:18 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:14:51 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:14:53 +0530] "GET /Servlet_Email_Pass_2/home.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:14:54 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:18:32 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:18:42 +0530] "POST /Servlet_Email_Pass_2/submit HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:18:50 +0530] "POST /Servlet_Email_Pass_2/submit HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:18:52 +0530] "GET /Servlet_Email_Pass_2/home.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:18:54 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:18:58 +0530] "GET /Servlet_Email_Pass_2/home.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:19:06 +0530] "GET /Servlet_Email_Pass_2/home.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:26:45 +0530] "GET /Servlet_Email_Pass_2/home.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:26:47 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:26:48 +0530] "GET /Servlet_Email_Pass_2/home.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:26:49 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:28:24 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:28:27 +0530] "GET /Servlet_Email_Pass_2/profile.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:28:29 +0530] "GET /Servlet_Email_Pass_2/home.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:28:31 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:28:32 +0530] "GET /Servlet_Email_Pass_2/profile.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:28:51 +0530] "GET /Servlet_Email_Pass_2/profile.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:28:52 +0530] "GET /Servlet_Email_Pass_2/home.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:28:53 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:28:55 +0530] "GET /Servlet_Email_Pass_2/profile.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:29:22 +0530] "GET /Servlet_Email_Pass_2/profile.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:29:27 +0530] "GET /Servlet_Email_Pass_2/profile.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:29:29 +0530] "GET /Servlet_Email_Pass_2/profile.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:29:29 +0530] "GET /Servlet_Email_Pass_2/profile.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:29:30 +0530] "GET /Servlet_Email_Pass_2/profile.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:29:30 +0530] "GET /Servlet_Email_Pass_2/profile.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:29:32 +0530] "GET /Servlet_Email_Pass_2/home.jsp HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:29:36 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:34:18 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:34:19 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:34:20 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:34:21 +0530] "GET /Servlet_Email_Pass_2/profile.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:34:25 +0530] "GET /Servlet_Email_Pass_2/home.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:34:27 +0530] "GET /Servlet_Email_Pass_2/Logout.jsp HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:34:29 +0530] "GET /Servlet_Email_Pass_2/Logout.jsp HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:34:30 +0530] "GET /Servlet_Email_Pass_2/Logout.jsp HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:34:30 +0530] "GET /Servlet_Email_Pass_2/Logout.jsp HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:37:35 +0530] "GET /Servlet_Email_Pass_2/home.jsp HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:37:37 +0530] "GET /Servlet_Email_Pass_2/logout HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:37:42 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:37:43 +0530] "GET /Servlet_Email_Pass_2/logout HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:39:14 +0530] "GET /Servlet_Email_Pass_2/logout HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:39:25 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:39:26 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:39:28 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:39:28 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:39:28 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:39:29 +0530] "GET /Servlet_Email_Pass_2/logout HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:39:42 +0530] "POST /Servlet_Email_Pass_2/submit HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:39:50 +0530] "POST /Servlet_Email_Pass_2/submit HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:39:54 +0530] "POST /Servlet_Email_Pass_2/submit HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:40:02 +0530] "POST /Servlet_Email_Pass_2/submit HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:40:05 +0530] "GET /Servlet_Email_Pass_2/home.jsp HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:40:06 +0530] "GET /Servlet_Email_Pass_2/profile.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:40:08 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:40:10 +0530] "GET /Servlet_Email_Pass_2/logout HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:40:13 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:40:15 +0530] "GET /Servlet_Email_Pass_2/home.jsp HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:40:16 +0530] "GET /Servlet_Email_Pass_2/profile.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:40:18 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:40:42 +0530] "GET /Servlet_Email_Pass_2/logout HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:40:46 +0530] "GET /Servlet_Email_Pass_2/about-us.jsp HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [25/Sep/2023:10:40:47 +0530] "GET /Servlet_Email_Pass_2/logout HTTP/1.1" 404 783
